1,Failure of an intercity bus to prominently display a copy of an intercity bus permit.
2,"Failure of an intercity bus to properly display the operator's name, address and telephone number."
3,Intercity bus unauthorized passenger pickup or discharge
4,Vehicles parked illegally south of Houston Street in Manhattan in metered spaces reserved for buses from 7am - 7pm daily. Vehicles with bus plate types parked longer than the 3 hour maximum and/or not displaying a DOT-issued bus permit.
5,Failure to make a right turn from a bus lane.
6,Parking a tractor-trailer on a residential street between 9PM and 5AM.
7,Vehicles photographed going through a red light at an intersection
8,Vehicle idling in a restricted area.
9,"Blocking an Intersection: Obstructing traffic at an intersection also known as ""Blocking the Box""."
10,"Stopping, standing or parking where a sign, street marking, or traffic control device does not allow stopping."
11,"Hotel Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
12,Mobile MTA bus lane violation.
13,"Taxi Stand: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
14,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
15,The drone requires human intervention.
16,"Truck Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
17,"Authorized Vehicles Only: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
18,"Bus Lane: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
19,"Bus Stop: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
20,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device."
21,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device."
22,"Taxi/FHV Relief Stand: Standing or parking where standing is not allowed by sign, street marking or; traffic control device."
23,"Taxi Stand: No parking where parking is not allowed by sign, street marking or traffic control device.*"
24,"Authorized Vehicles Only: No parking where parking is not allowed by sign, street marking or traffic control device.*"
25,"Standing at a commuter van stop, other than temporarily for the purpose of quickly picking up or dropping off passengers."
26,"Standing at a for-hire vehicle stand, other than temporarily for the purpose of quickly picking up or dropping off passengers."
27,"No parking in a zone reserved for people with disabilities (off-street only) where parking is not allowed by sign, street marking or traffic control device (Note: Includes a $30 New York State Criminal Justice surcharge.)"
28,Overtime standing (diplomat)
29,Altering an intercity bus permit
30,Stopping or standing by an intercity bus in its assigned on-street bus stop location other than when actively engaged in the pick-up or discharge of its passengers
31,Standing of a non-commercial vehicle in a commercial metered zone.
32,Parking at a broken or missing meter for longer than the maximum time permitted.
33,Misuse of agency authorized parking permit.
34,
35,"Parking in a meter space for the purpose of displaying, selling, storing, or offering goods for sale."
36,Exceeding the posted speed limit in or near a designated school zone.
37,Parking in excess of the allowed time 
38,Failing to show a receipt or tag in the windshield.
39,"Parking for longer than the maximum time permitted by sign, street marking or traffic control device."
40,"Stopping, standing or parking closer than 15 feet of a fire hydrant. Between sunrise and sunset, a passenger vehicle may stand alongside a fire hydrant as long as a driver remains behind the wheel and is ready to move the vehicle if required to do so."
41,
42,Parking in a parking meter space in a commercial metered zone in which that Muni Meter is working and indicates the time has ended.
43,
44,Parking in a commercial metered zone for longer than the maximum time allowed.
45,"Stopping, standing or parking in a traffic lane; or if a vehicle extends more than 8 feet from the nearest curb, blocking traffic."
46,"Standing or parking on the roadway side of a vehicle stopped, standing or parked at the curb; in other words also known as ""double parking"". However, a person may stand a Commercial Vehicle alongside a vehicle parked at the curb at such locations and during such hours that stopping, standing and parking is allowed when quickly making pickups, deliveries or service calls. This is allowed if there is no parking space or marked loading zone on either side of the street within 100 feet. ""Double parking"" any type of vehicle is not allowed in Midtown Manhattan (the area from 14th Street to 60th Street, between First Avenue and Eighth Avenue inclusive). Midtown double parking is not allowed between 7:00am – 7:00pm daily except Sundays. (Read Code 47)"
47,"Stopping, standing or parking a vehicle in Midtown Manhattan (the area from 14th Street to 60th Street, between First Avenue and Twelfth Avenue) other than parallel or close to the curb. ** Effective 3/8/20, the area of violation is from 14th Street to 60th Street, between First Avenue and Twelfth Avenue"
48,"Stopping, standing or parking within a marked bicycle lane."
49,"Stopping, standing or parking alongside or opposite any street construction or obstruction and thereby blocking traffic."
50,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings."
51,"Stopping, standing or parking on a sidewalk."
52,"Stopping, standing or parking within an intersection."
53,"Standing or parking in a safety zone, between a safety zone and the nearest curb, or within 30 feet of points on the curb immediately opposite the ends of a safety zone."
54,"Picking up or discharging a passenger(s) within a pedestrian crosswalk, within an intersection, alongside or opposite a street excavation while blocking traffic, in a traffic lane, where stopping is prohibited, with a bicycle lane or within a horse-drawn carriage boarding area."
55,"Stopping, standing or parking within a highway tunnel or on a raised or controlled access roadway."
56,"Stopping, standing or parking alongside a barrier or divided highway unless permitted by sign."
57,"Parking a vehicle within the area designated as The Blue Zone, Monday through Friday 7:00am -7:00pm. The Blue Zone is bounded by the northern property line of Frankfort Street, the northern property line of Dover Street, the eastern property line of South Street, the western property line of State Street, the center line of Broadway and the center line of Park Row. ** Effective 3/8/20, this violation is no longer issued"
58,"Parking a vehicle on a marginal street or waterfront i.e. any street, road, place, area or way that connects or runs along waterfront property. Parking on a marginal street or waterfront is permitted if authorized by posted sign."
59,"Standing or parking at an angle to the curb, except where allowed by rule or sign. Where angle parking is not authorized by a sign, a Commercial Vehicle may stand or park at an angle only for loading or unloading and if it leaves enough space for traffic flow."
60,"Standing or parking at an angle to the curb, except where authorized by rule or sign."
61,"Except where angle parking is allowed, stopping, standing or parking other than parallel to curb or edge of roadway. Or, parking opposite the direction of traffic."
62,"Standing or parking a vehicle beyond markings on the curb or the pavement of a street which marks a parking space, except when a vehicle is too large to fit in that ""marked"" parking space. Where a vehicle is too large, it shall be parked with its front bumper at the front of the space and the rear bumper extending as little as possible into the next space."
63,"Standing or parking a vehicle in any park between one-half hour after sunset and one-half hour before sunrise, except at places allowed for the parking of vehicles."
64,No standing except consul / diplomat plates with Dept. of State decals only.
65,Overtime standing consul / diplomat vehicles 30-minute limit D decals only.
66,"Parking a trailer or semi-trailer which is not attached to a motor vehicle used for towing it, unless loading or unloading at an off-street platform."
67,Parking in front of a pedestrian ramp
68,Not parking as marked on a posted sign
69,"Failing to show a parking meter receipt, commercial meter zone."
70,Standing or parking a vehicle without showing a current New York registration sticker.
71,Standing or parking a vehicle without showing a current New York inspection sticker.
72,Standing or parking a vehicle with NY Plates and showing a damaged or fake inspection certificate.
73,"Standing or parking a vehicle showing an expired, damaged, void, fake, or incorrect registration sticker."
74,"Standing or parking a vehicle without properly showing its current plates on the outside of the vehicle attached tightly not more than 48, or less than 12, inches from the ground, clean, not covered by glass or plastic, with nothing preventing it from being read clearly."
75,Standing or parking a vehicle in which the New York License Plate number and/or the actual description of the vehicle does not match the information on the registration sticker.
76,Standing or parking a vehicle that has the vehicle identification number obscured in any manner.
77,"Parking a bus, unless allowed by signs. A charter bus may park where parking is permitted at its point of origin or destination. A school bus may park in front of and within the building lines of a school."
78,Parking a Commercial Vehicle on a residential street between 9PM and 5AM unless doing business within 3 blocks. Parking is allowed during this time if the vehicle is owned or operated by a gas or oil supplier or maintenance company or by any public utility.
79,"For a bus without passengers, waiting at a curb or other street location i.e., a layover; with passengers, waiting at a curb or other street location for more than five minutes, except in locations allowed by sign or by the Commissioner in writing."
80,"Standing or parking a vehicle without head lamps, rear lamps, reflectors or other required equipment."
81,No standing except diplomat
82,"Standing or parking a Commercial Vehicle unless all seats, except the front seats, and rear seat equipment removed. The name and address of the owner must be on the registration certificate plainly marked on both sides of the vehicle in letters and numerals not less than 3 inches in height. (Vehicles with Commercial Plates are considered to be Commercial Vehicles and must be altered accordingly."
83,Standing or parking a vehicle displaying a New York license plate which is not properly registered.
